"Buurten";"Score dimensie fysieke omgeving (afwijking landelijk gemiddelde)|2014";"Score dimensie fysieke omgeving (afwijking landelijk gemiddelde)|2018";"Score dimensie fysieke omgeving (afwijking landelijk gemiddelde)|2020"
"Valkenberg";-0,0167738;-0,0053654;-0,0043770
"Chass?Â©";-0,0071660;-0,0014064;0,0037538
"Fellenoord";-0,0087180;-0,0089300;-0,0037671
"Schorsmolen";-0,0244586;-0,0296945;-0,0262111
"Station";-0,0504481;-0,0475347;-0,0420872
"City";0,0080908;0,0125714;0,0281856
"Belcrum";-0,0445262;-0,0391859;-0,0351233
"Doornbos-Linie";-0,0389066;-0,0346751;-0,0307286
"Biesdonk";-0,0216683;-0,0132391;-0,0074594
"Geeren-zuid";-0,0150964;-0,0053828;-0,0003599
"Wisselaar";-0,0074222;-0,0002377;0,0034889
"Krogten";-0,0870238;-0,0692793;-0,0788743
"Geeren-noord";-0,0006172;0,0123001;0,0173531
"Waterdonken";-0,0236730;0,0050193;0,0063596
"Brabantpark";-0,0192846;-0,0226178;-0,0190830
"Sportpark";-0,0112665;-0,0080396;-0,0028551
"Zandberg";-0,0019320;-0,0021962;0,0032676
"Heusdenhout";-0,0163740;-0,0138731;-0,0102991
"Moleneind-oost";"?";"?";"?"
"Hoogeind";"";"";"?"
"Blauwe Kei";-0,0149206;-0,0146290;-0,0109282
"Ypelaar";-0,0038649;0,0056648;0,0092968
"Overakker";-0,0024338;0,0042887;0,0052916
"Ginneken";0,0065971;0,0077155;0,0099135
"Mastbos";0,0503642;0,0772795;0,0826311
"Boeimeer";-0,0038965;0,0008182;0,0038860
"Ruitersbos";0,0123901;0,0153808;0,0181794
"Haagpoort";-0,0325098;-0,0185352;-0,0063158
"Heuvel";-0,0176630;-0,0141205;-0,0048323
"Tuinzigt";-0,0302102;-0,0296111;-0,0285056
"Princenhage";-0,0146125;-0,0120831;-0,0085275
"Westerpark";-0,0140534;-0,0074632;-0,0042409
"Heilaar";-0,0213794;-0,0002004;0,0021667
"Hazeldonk";"?";"?";"?"
"Steenakker";-0,0709078;-0,0194751;-0,0151982
"Effen-Rith";-0,0272743;-0,0031072;-0,0129185
"Liesbos";-0,0303828;-0,0200953;-0,0214555
"Gageldonk";-0,0080165;-0,0076053;-0,0055382
"Kievitsloop";-0,0142716;-0,0135894;-0,0099835
"Kesteren";-0,0067475;-0,0038700;0,0004163
"Muizenberg";-0,0072358;-0,0044662;-0,0007441
"Heksenwiel";0,0104796;0,0010157;0,0069313
"Overkroeten";0,0145596;0,0010620;0,0068536
"Kroeten";0,0019279;-0,0136769;-0,0023562
"Emer";"?";"?";"?"
"Hagebeemd";-0,0343645;-0,0116519;-0,0185762
"Bavel";-0,0071153;-0,0056025;-0,0027867
"Nieuw Wolfslaar";-0,0109629;-0,0050908;-0,0016161
"Buitengebied Bavel";-0,0649757;-0,0356487;-0,0443049
"Ulvenhout";0,0221776;0,0271797;0,0227984
"Buitengebied Ulvenhout";0,0044460;-0,0027999;-0,0226535
"Prinsenbeek";-0,0148645;-0,0084778;-0,0052763
"Buitengebied Prinsenbeek";-0,0621285;-0,0358872;-0,0512263
"Teteringen";-0,0079543;-0,0011463;0,0006047
"Vuchtpolder";-0,1045387;-0,0489344;-0,0833871
"Buitengebied Teteringen";-0,0135768;0,0000547;-0,0094029
