"Buurten";"Score dimensie sociale samenhang (afwijking landelijk gemiddelde)|2014";"Score dimensie sociale samenhang (afwijking landelijk gemiddelde)|2018";"Score dimensie sociale samenhang (afwijking landelijk gemiddelde)|2020"
"Valkenberg";-0,0371895;-0,0394226;-0,0361320
"Chass?Â©";-0,0270478;-0,0336298;-0,0353684
"Fellenoord";-0,0575530;-0,0586102;-0,0586718
"Schorsmolen";-0,0680624;-0,0750247;-0,0743677
"Station";-0,0273075;-0,0299361;-0,0431882
"City";-0,0298596;-0,0349311;-0,0330227
"Belcrum";-0,0214501;-0,0242302;-0,0197873
"Doornbos-Linie";-0,0526489;-0,0508643;-0,0517849
"Biesdonk";-0,0609365;-0,0633147;-0,0613327
"Geeren-zuid";-0,0732102;-0,0768758;-0,0782036
"Wisselaar";-0,0518787;-0,0525468;-0,0467702
"Krogten";0,0567514;0,0933553;0,0829267
"Geeren-noord";-0,0622098;-0,0659472;-0,0620647
"Waterdonken";0,0121631;0,0163547;-0,0017658
"Brabantpark";-0,0245922;-0,0206641;-0,0216477
"Sportpark";0,0165582;0,0200858;0,0282649
"Zandberg";-0,0033827;-0,0003296;0,0080251
"Heusdenhout";-0,0057569;-0,0078002;-0,0078792
"Moleneind-oost";"?";"?";"?"
"Hoogeind";"";"";"?"
"Blauwe Kei";0,0047148;0,0080165;0,0123958
"Ypelaar";-0,0144628;-0,0088065;-0,0054251
"Overakker";0,0250749;0,0231434;0,0271167
"Ginneken";0,0152871;0,0194949;0,0224137
"Mastbos";0,0954021;0,1262920;0,1198479
"Boeimeer";0,0009538;-0,0006298;0,0010103
"Ruitersbos";0,0492377;0,0503680;0,0415692
"Haagpoort";-0,0554104;-0,0547373;-0,0585818
"Heuvel";-0,0550536;-0,0581060;-0,0569088
"Tuinzigt";-0,0393813;-0,0333259;-0,0346539
"Princenhage";-0,0005166;-0,0026719;-0,0055552
"Westerpark";0,0079765;0,0040102;0,0054119
"Heilaar";0,1031806;0,0958675;0,0909592
"Hazeldonk";"?";"?";"?"
"Steenakker";0,1149837;0,1563893;0,0400195
"Effen-Rith";0,1412951;0,1508028;0,1011670
"Liesbos";0,1811904;0,1708296;0,0996547
"Gageldonk";-0,0087858;-0,0110436;-0,0147761
"Kievitsloop";-0,0027001;-0,0050354;-0,0068675
"Kesteren";-0,0291458;-0,0265033;-0,0250714
"Muizenberg";-0,0061123;-0,0068061;-0,0111472
"Heksenwiel";-0,0065867;-0,0014680;-0,0053737
"Overkroeten";0,0069468;0,0100023;0,0022788
"Kroeten";0,0053189;0,0083411;0,0102526
"Emer";"?";"?";"?"
"Hagebeemd";0,1040410;0,0906268;0,1083291
"Bavel";0,0361658;0,0374662;0,0354959
"Nieuw Wolfslaar";0,0496608;0,0481562;0,0466799
"Buitengebied Bavel";0,1369512;0,1382199;0,1197498
"Ulvenhout";0,0463294;0,0538636;0,0522999
"Buitengebied Ulvenhout";0,1303666;0,1159571;0,0865303
"Prinsenbeek";0,0301887;0,0361758;0,0316448
"Buitengebied Prinsenbeek";0,1177429;0,1239108;0,1250674
"Teteringen";0,0504725;0,0541271;0,0504274
"Vuchtpolder";0,1455068;0,1232288;0,1188536
"Buitengebied Teteringen";0,1803075;0,1541745;0,1475951
