,Buurten,Year,value
0,Valkenberg,2014,"4,0437744"
1,Chassé,2014,"4,1088639"
2,Fellenoord,2014,"3,8969463"
3,Schorsmolen,2014,"3,8828739"
4,Station,2014,"4,0230966"
5,City,2014,"4,0224228"
6,Belcrum,2014,"4,0468476"
7,Doornbos-Linie,2014,"3,8657413"
8,Biesdonk,2014,"3,8367021"
9,Geeren-zuid,2014,"3,8511576"
10,Wisselaar,2014,"3,8590980"
11,Krogten,2014,"4,0180546"
12,Geeren-noord,2014,"3,7996045"
13,Waterdonken,2014,"4,0530228"
14,Brabantpark,2014,"4,0480815"
15,Sportpark,2014,"4,2558888"
16,Zandberg,2014,"4,2911635"
17,Heusdenhout,2014,"4,0996783"
18,Moleneind-oost,2014,?
19,Hoogeind,2014,
20,Blauwe Kei,2014,"4,1742383"
21,Ypelaar,2014,"4,1124567"
22,Overakker,2014,"4,1887412"
23,Ginneken,2014,"4,2882436"
24,Mastbos,2014,"4,2987223"
25,Boeimeer,2014,"4,2022858"
26,Ruitersbos,2014,"4,2925087"
27,Haagpoort,2014,"3,9207422"
28,Heuvel,2014,"3,8927308"
29,Tuinzigt,2014,"3,9181417"
30,Princenhage,2014,"4,0907655"
31,Westerpark,2014,"4,1270923"
32,Heilaar,2014,"4,2844652"
33,Hazeldonk,2014,?
34,Steenakker,2014,"4,2383428"
35,Effen-Rith,2014,"4,2176928"
36,Liesbos,2014,"4,2871150"
37,Gageldonk,2014,"3,9832675"
38,Kievitsloop,2014,"3,9742539"
39,Kesteren,2014,"3,8737656"
40,Muizenberg,2014,"3,9563527"
41,Heksenwiel,2014,"4,0160717"
42,Overkroeten,2014,"4,0125406"
43,Kroeten,2014,"3,9721032"
44,Emer,2014,?
45,Hagebeemd,2014,"4,2543906"
46,Bavel,2014,"4,1622053"
47,Nieuw Wolfslaar,2014,"4,2203205"
48,Buitengebied Bavel,2014,"4,2749587"
49,Ulvenhout,2014,"4,2211729"
50,Buitengebied Ulvenhout,2014,"4,2876857"
51,Prinsenbeek,2014,"4,1152431"
52,Buitengebied Prinsenbeek,2014,"4,1944012"
53,Teteringen,2014,"4,2104362"
54,Vuchtpolder,2014,"4,3301999"
55,Buitengebied Teteringen,2014,"4,4549457"
56,Valkenberg,2018,"4,0946676"
57,Chassé,2018,"4,1760985"
58,Fellenoord,2018,"3,9243307"
59,Schorsmolen,2018,"3,8898649"
60,Station,2018,"4,0466661"
61,City,2018,"4,0562968"
62,Belcrum,2018,"4,0628850"
63,Doornbos-Linie,2018,"3,8669522"
64,Biesdonk,2018,"3,8462136"
65,Geeren-zuid,2018,"3,8388440"
66,Wisselaar,2018,"3,8526547"
67,Krogten,2018,"4,1097581"
68,Geeren-noord,2018,"3,7981452"
69,Waterdonken,2018,"4,0707392"
70,Brabantpark,2018,"4,0923338"
71,Sportpark,2018,"4,3036358"
72,Zandberg,2018,"4,3231734"
73,Heusdenhout,2018,"4,1189374"
74,Moleneind-oost,2018,?
75,Hoogeind,2018,
76,Blauwe Kei,2018,"4,2075663"
77,Ypelaar,2018,"4,1477908"
78,Overakker,2018,"4,2060952"
79,Ginneken,2018,"4,3132491"
80,Mastbos,2018,"4,2914283"
81,Boeimeer,2018,"4,2294233"
82,Ruitersbos,2018,"4,3116362"
83,Haagpoort,2018,"3,9807719"
84,Heuvel,2018,"3,9323470"
85,Tuinzigt,2018,"3,9056417"
86,Princenhage,2018,"4,1619141"
87,Westerpark,2018,"4,1239067"
88,Heilaar,2018,"4,3009086"
89,Hazeldonk,2018,?
90,Steenakker,2018,"4,0466658"
91,Effen-Rith,2018,"4,2579667"
92,Liesbos,2018,"4,2917941"
93,Gageldonk,2018,"4,0246678"
94,Kievitsloop,2018,"4,0099449"
95,Kesteren,2018,"3,9532025"
96,Muizenberg,2018,"4,0208363"
97,Heksenwiel,2018,"4,0490372"
98,Overkroeten,2018,"4,0344716"
99,Kroeten,2018,"4,0376508"
100,Emer,2018,?
101,Hagebeemd,2018,"4,3079755"
102,Bavel,2018,"4,1880745"
103,Nieuw Wolfslaar,2018,"4,2597426"
104,Buitengebied Bavel,2018,"4,3161626"
105,Ulvenhout,2018,"4,2475408"
106,Buitengebied Ulvenhout,2018,"4,2902200"
107,Prinsenbeek,2018,"4,1730072"
108,Buitengebied Prinsenbeek,2018,"4,2647948"
109,Teteringen,2018,"4,2353137"
110,Vuchtpolder,2018,"4,3554316"
111,Buitengebied Teteringen,2018,"4,4669578"
112,Valkenberg,2020,"4,1224382"
113,Chassé,2020,"4,2117509"
114,Fellenoord,2020,"3,9870623"
115,Schorsmolen,2020,"3,9446339"
116,Station,2020,"4,0620225"
117,City,2020,"4,1370920"
118,Belcrum,2020,"4,0524916"
119,Doornbos-Linie,2020,"3,9201641"
120,Biesdonk,2020,"3,8748954"
121,Geeren-zuid,2020,"3,8424682"
122,Wisselaar,2020,"3,8879320"
123,Krogten,2020,"4,1688750"
124,Geeren-noord,2020,"3,8312036"
125,Waterdonken,2020,"4,0743781"
126,Brabantpark,2020,"4,1249967"
127,Sportpark,2020,"4,3294353"
128,Zandberg,2020,"4,3462661"
129,Heusdenhout,2020,"4,1551773"
130,Moleneind-oost,2020,?
131,Hoogeind,2020,?
132,Blauwe Kei,2020,"4,2348162"
133,Ypelaar,2020,"4,1732273"
134,Overakker,2020,"4,2366705"
135,Ginneken,2020,"4,3309247"
136,Mastbos,2020,"4,2551871"
137,Boeimeer,2020,"4,2301167"
138,Ruitersbos,2020,"4,3157876"
139,Haagpoort,2020,"3,9937257"
140,Heuvel,2020,"3,9642746"
141,Tuinzigt,2020,"3,9579438"
142,Princenhage,2020,"4,2006204"
143,Westerpark,2020,"4,1441579"
144,Heilaar,2020,"4,3089926"
145,Hazeldonk,2020,?
146,Steenakker,2020,"3,8895081"
147,Effen-Rith,2020,"4,1965436"
148,Liesbos,2020,"4,2461532"
149,Gageldonk,2020,"4,0586048"
150,Kievitsloop,2020,"4,0504400"
151,Kesteren,2020,"3,9843782"
152,Muizenberg,2020,"4,0444092"
153,Heksenwiel,2020,"4,0742179"
154,Overkroeten,2020,"4,0447931"
155,Kroeten,2020,"4,0710483"
156,Emer,2020,?
157,Hagebeemd,2020,"4,3401180"
158,Bavel,2020,"4,2286584"
159,Nieuw Wolfslaar,2020,"4,2704295"
160,Buitengebied Bavel,2020,"4,2934189"
161,Ulvenhout,2020,"4,2601497"
162,Buitengebied Ulvenhout,2020,"4,2476167"
163,Prinsenbeek,2020,"4,1980640"
164,Buitengebied Prinsenbeek,2020,"4,2747239"
165,Teteringen,2020,"4,2748255"
166,Vuchtpolder,2020,"4,3157208"
167,Buitengebied Teteringen,2020,"4,4683443"
