"Buurten";"Score dimensie woningvoorraad (afwijking landelijk gemiddelde)|2014";"Score dimensie woningvoorraad (afwijking landelijk gemiddelde)|2018";"Score dimensie woningvoorraad (afwijking landelijk gemiddelde)|2020"
"Valkenberg";0,0162354;0,0207585;0,0294726
"Chass?Â©";-0,0081257;0,0095823;0,0169148
"Fellenoord";-0,0569981;-0,0343588;0,0010224
"Schorsmolen";-0,0451882;-0,0284750;-0,0086686
"Station";0,0142755;0,0211158;0,0242516
"City";0,0100953;0,0149909;0,0284366
"Belcrum";-0,0173057;-0,0057351;-0,0108376
"Doornbos-Linie";-0,0707517;-0,0523052;-0,0382337
"Biesdonk";-0,1106520;-0,0965060;-0,0820547
"Geeren-zuid";-0,0635281;-0,0621535;-0,0372557
"Wisselaar";-0,0727157;-0,0779655;-0,0527805
"Krogten";0,0418325;0,0363291;0,0372113
"Geeren-noord";-0,0933033;-0,0774373;-0,0568133
"Waterdonken";-0,0084111;-0,0036357;0,0089222
"Brabantpark";-0,0273842;-0,0119984;-0,0043482
"Sportpark";-0,0077934;0,0197238;0,0138738
"Zandberg";0,0341593;0,0532218;0,0546155
"Heusdenhout";0,0024772;0,0011038;0,0066373
"Moleneind-oost";"?";"?";"?"
"Hoogeind";"";"";"?"
"Blauwe Kei";-0,0168555;-0,0034153;-0,0052760
"Ypelaar";-0,0077111;-0,0062574;0,0015875
"Overakker";-0,0139222;-0,0032618;0,0072733
"Ginneken";0,0393214;0,0427980;0,0468016
"Mastbos";0,0823069;0,0847510;0,0705656
"Boeimeer";0,0030466;0,0181575;0,0119364
"Ruitersbos";0,0474362;0,0521839;0,0632270
"Haagpoort";-0,0379740;-0,0230183;-0,0232829
"Heuvel";-0,0607085;-0,0296726;-0,0274397
"Tuinzigt";-0,0671314;-0,0698718;-0,0430027
"Princenhage";-0,0037397;0,0032860;0,0128931
"Westerpark";-0,0046780;0,0087895;0,0090816
"Heilaar";0,0805366;0,0816597;0,0841402
"Hazeldonk";"?";"?";"?"
"Steenakker";0,0794644;-0,1190930;-0,1284335
"Effen-Rith";0,0681217;0,0646720;0,0667018
"Liesbos";0,0451988;0,0534659;0,0714077
"Gageldonk";-0,0125306;-0,0072385;0,0041307
"Kievitsloop";-0,0123648;-0,0099858;0,0160881
"Kesteren";-0,0374241;-0,0289000;-0,0153615
"Muizenberg";-0,0088240;-0,0002106;0,0032022
"Heksenwiel";-0,0024220;0,0052217;0,0059196
"Overkroeten";-0,0076672;0,0005289;-0,0015652
"Kroeten";-0,0232247;-0,0021630;-0,0084869
"Emer";"?";"?";"?"
"Hagebeemd";0,1319258;0,1357432;0,1369822
"Bavel";0,0315606;0,0333511;0,0346232
"Nieuw Wolfslaar";0,0338328;0,0371154;0,0382998
"Buitengebied Bavel";0,0928535;0,0853113;0,0852787
"Ulvenhout";0,0349562;0,0381539;0,0395482
"Buitengebied Ulvenhout";0,0502604;0,0639918;0,0665591
"Prinsenbeek";0,0165472;0,0222404;0,0257136
"Buitengebied Prinsenbeek";0,0858663;0,0834761;0,0896711
"Teteringen";0,0295360;0,0357409;0,0353657
"Vuchtpolder";0,1802519;0,1672679;0,1521175
"Buitengebied Teteringen";0,1406961;0,1286915;0,1261414
